country,Populacao_2022
OECD members,1377465841.0
Oman,4576298.0
Other small states,14095313.0
Pacific island small states,2639019.0
Pakistan,235824862.0
Palau,18055.0
Panama,4408581.0
Papua New Guinea,10142619.0
Paraguay,6780744.0
Peru,34049588.0
Philippines,115559009.0
Poland,36821749.0
Portugal,10409704.0
Post-demographic dividend,1114354147.0
Pre-demographic dividend,1038012552.0
Puerto Rico,3220113.0
Qatar,2695122.0
Romania,19047009.0
Russian Federation,144236933.0
Rwanda,13776698.0
Samoa,222382.0
San Marino,33660.0
Sao Tome and Principe,227380.0
Saudi Arabia,36408820.0
Senegal,17316449.0
Serbia,6664449.0
Seychelles,119878.0
Sierra Leone,8605718.0
Singapore,5637022.0
Sint Maarten (Dutch part),40888.0
Slovak Republic,5431752.0
Slovenia,2111986.0
Small states,19881389.0
Solomon Islands,724273.0
Somalia,17597511.0
South Africa,59893885.0
South Asia,1919348000.0
South Asia (IDA & IBRD),1919348000.0
South Sudan,10913164.0
Spain,47778340.0
Sri Lanka,22181000.0
St. Kitts and Nevis,47657.0
St. Lucia,179857.0
St. Martin (French part),31791.0
St. Vincent and the Grenadines,103948.0
Sub-Saharan Africa,1211190002.0
Sub-Saharan Africa (IDA & IBRD countries),1211190002.0
Sub-Saharan Africa (excluding high income),1211070124.0
Sudan,46874204.0
Suriname,618040.0
Sweden,10486941.0
Switzerland,8775760.0
Syrian Arab Republic,22125249.0
Tajikistan,9952787.0
Tanzania,65497748.0
Thailand,71697030.0
Timor-Leste,1341296.0
Togo,8848699.0
Tonga,106858.0
Trinidad and Tobago,1531044.0
Tunisia,12356117.0
Turkiye,84979913.0
Turkmenistan,6430770.0
Turks and Caicos Islands,45703.0
Tuvalu,11312.0
Uganda,47249585.0
Ukraine,38000000.0
United Arab Emirates,9441129.0
United Kingdom,67791000.0
United States,333271411.0
Upper middle income,2803249752.0
Uruguay,3422794.0
Uzbekistan,35648100.0
Vanuatu,326740.0
"Venezuela, RB",28301696.0
Viet Nam,98186856.0
Virgin Islands (U.S.),105413.0
West Bank and Gaza,5043612.0
World,7951595433.0
"Yemen, Rep.",33696614.0
Zambia,20017675.0
Zimbabwe,16320537.0
